City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
lavrentiya,65.5833,-171.0,33.76,98,100,18.23,RU,1639968613
coahuayana,18.7333,-103.6833,74.34,77,63,1.7,MX,1639968613
bengkulu,-3.8004,102.2655,81.25,68,100,5.73,ID,1639968614
butaritari,3.0707,172.7902,82.15,74,95,15.61,KI,1639968614
ushuaia,-54.8,-68.3,40.66,70,40,10.36,AR,1639968614
komsomolskiy,40.4272,71.7189,38.62,70,75,6.91,UZ,1639968614
castro,-24.7911,-50.0119,54.43,93,15,5.95,BR,1639968615
kaitangata,-46.2817,169.8464,71.33,48,100,11.68,NZ,1639968615
qaanaaq,77.484,-69.3632,21.24,70,100,9.48,GL,1639968615
tasiilaq,65.6145,-37.6368,21.22,63,96,9.75,GL,1639968616
hithadhoo,-0.6,73.0833,82.49,75,98,7.74,MV,1639968616
luderitz,-26.6481,15.1594,59.0,82,3,3.83,NA,1639968616
torbay,47.6666,-52.7314,24.58,79,90,5.75,CA,1639968617
panguna,-6.3164,155.4848,78.4,81,98,2.17,PG,1639968617
georgetown,5.4112,100.3354,84.13,74,20,5.99,MY,1639968351
muros,42.7762,-9.0603,55.9,86,100,9.91,ES,1639968617
kotma,23.2,81.9667,51.96,32,0,3.24,IN,1639968381
constitucion,-35.3333,-72.4167,57.67,81,48,11.27,CL,1639968618
crotone,39.0851,17.1178,44.92,60,0,3.36,IT,1639968618
atuona,-9.8,-139.0333,77.85,75,4,12.62,PF,1639968618
sayyan,15.1718,44.3244,48.22,39,5,1.21,YE,1639968619
saint-philippe,-21.3585,55.7679,80.47,83,37,7.07,RE,1639968619
cidreira,-30.1811,-50.2056,70.38,82,0,22.66,BR,1639968619
hasaki,35.7333,140.8333,52.29,43,0,7.18,JP,1639968619
salalah,17.0151,54.0924,67.78,80,11,4.83,OM,1639968620
arraial do cabo,-22.9661,-42.0278,72.16,79,54,9.69,BR,1639968620
port alfred,-33.5906,26.891,65.95,91,78,9.01,ZA,1639968620
rikitea,-23.1203,-134.9692,74.5,85,100,15.17,PF,1639968620
nikolskoye,59.7035,30.7861,19.4,91,100,11.27,RU,1639968621
zhigansk,66.7697,123.3711,-41.58,97,99,4.23,RU,1639968621
upernavik,72.7868,-56.1549,23.52,71,94,8.93,GL,1639968621
makasar,-5.14,119.4221,84.25,84,20,2.3,ID,1639968332
kapaa,22.0752,-159.319,80.58,83,90,7.0,US,1639968621
abbeville,50.1,1.8333,44.56,76,100,9.55,FR,1639968622
paamiut,61.994,-49.6678,43.21,51,100,17.11,GL,1639968622
lichtenburg,-26.152,26.1597,54.25,94,56,6.98,ZA,1639968433
kozmodemyansk,56.3367,46.5711,25.63,96,100,10.22,RU,1639968622
klaksvik,62.2266,-6.589,40.12,82,100,10.87,FO,1639968623
lompoc,34.6391,-120.4579,51.12,85,20,1.01,US,1639968623
vikhorevka,56.1201,101.1636,-29.61,95,34,1.25,RU,1639968623
punta arenas,-53.15,-70.9167,44.71,81,75,13.8,CL,1639968623
namatanai,-3.6667,152.4333,81.07,79,94,3.62,PG,1639968624
bambous virieux,-20.3428,57.7575,80.22,83,40,5.75,MU,1639968624
ponta delgada,37.7333,-25.6667,57.92,88,75,19.57,PT,1639968624
snezhnogorsk,69.1933,33.2531,6.58,79,100,19.8,RU,1639968625
